Administrative District,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
28,2015-16,42337,3107,2933,2884,2897,2848,2699,2633,2458,2429,2396,3967,4099,3485,3502,20826,49.2,21511,50.8,12142,28.7,9907,23.4,11399,26.9,2031,4.8,6858,16.2,6294,14.9,3826,9,28001,66.1,48.3%
29,2015-16,28007,2262,2382,2315,2424,2614,2519,2359,2244,2265,2233,1215,1221,957,997,13649,48.7,14358,51.3,4218,15.1,18209,65,4077,14.6,1016,3.6,487,1.7,4535,16.2,1949,7,20127,71.9,49.7%
30,2015-16,41300,3177,3179,3216,3107,3238,3030,3052,3215,3324,3186,2870,2651,2023,2032,20414,49.4,20886,50.6,9087,22,2826,6.8,22127,53.6,752,1.8,6508,15.8,5956,14.4,6889,16.7,28330,68.6,57.5%
31,2015-16,62638,4124,4520,4708,4745,4698,4627,4497,4207,4305,4311,4920,4750,4310,3916,30469,48.6,32169,51.4,5343,8.5,8142,13,17368,27.7,1173,1.9,30612,48.9,14368,22.9,3125,5,34141,54.5,42.9%
32,2015-16,13104,1279,930,979,983,1033,1014,1050,1115,1100,1189,553,851,500,528,6419,49,6685,51,258,2,2291,17.5,10245,78.2,80,0.6,230,1.8,2463,18.8,2382,18.2,11171,85.2,79.5%
75,2015-16,23963,317,1411,1632,1878,1815,1702,1644,1500,1508,1589,1998,1733,1495,3741,6542,27.3,17421,72.7,1700,7.1,8968,37.4,9575,40,468,2,3252,13.6,23515,98.1,4715,19.7,15650,65.3,70.9%
79,2015-16,5411,0,0,0,0,1,1,2,5,32,149,493,3904,126,698,1929,35.6,3482,64.4,516,9.5,2127,39.3,2274,42,111,2.1,383,7.1,910,16.8,755,14,2555,47.2,69.5%
84,2015-16,95172,510,10575,10948,10582,8753,7229,7804,9046,7517,6150,5849,4391,3346,2472,48395,50.9,46777,49.1,2308,2.4,52225,54.9,34871,36.6,1833,1.9,3935,4.1,15344,16.1,5999,6.3,72908,76.6,67.5%
1,2016-17,11772,827,850,907,889,859,834,808,828,833,836,675,988,817,821,5748,48.8,6024,51.2,2594,22,1901,16.1,4855,41.2,363,3.1,2059,17.5,2555,21.7,1065,9,7265,61.7,60.3%
2,2016-17,63805,2526,3051,2913,2832,2803,2935,2770,2671,2527,2478,10188,9404,8654,8053,33447,52.4,30357,47.6,14558,22.8,9837,15.4,20712,32.5,2749,4.3,15949,25,10655,16.7,5462,8.6,32855,51.5,47.2%
