Borough,Geographical  District,Admin District,ATS Code,Location Name,Grade Level,Building Code,Building Name,Address,Building Ownership Description,Room No,Area,Function,Is school co-located?,Inside v outside,Is the space shared by any other schools?,Space used for any other purpose beside PE
K,22,22,22K312,P.S. 312 Bergen Beach,Elementary,K312,P.S. 312 - Brooklyn,7103 Avenue T,DOE Owned,Outdoor Yard 1,3815,Outdoor Yard,false,Outdoor,false,false
K,22,22,22K315,P.S. K315,Elementary,K152,P.S. 152 - Brooklyn,2310 Glenwood Road,DOE Owned,204,899,Dance Room,true,Inside,true,false
K,22,22,22K315,P.S. K315,Elementary,K152,P.S. 152 - Brooklyn,2310 Glenwood Road,DOE Owned,211,713,Dance Room,true,Inside,true,false
K,22,22,22K315,P.S. K315,Elementary,K152,P.S. 152 - Brooklyn,2310 Glenwood Road,DOE Owned,G1,3672,Gymnasium,true,Inside,true,false
K,22,22,22K315,P.S. K315,Elementary,K152,P.S. 152 - Brooklyn,2310 Glenwood Road,DOE Owned,Outdoor Yard 1,8555,Outdoor Yard,true,Outdoor,true,false
K,22,22,22K326,P.S. 326,Early Childhood,K852,P.S. 326 - Brooklyn,1800 Utica Avenue,Tax Levy Lease,CAF/AUD,9348,Gymnasium/Auditorium/Cafeteria,false,Inside,false,true
K,22,22,22K326,P.S. 326,Early Childhood,K852,P.S. 326 - Brooklyn,1800 Utica Avenue,Tax Levy Lease,POOL,2752,Swimming Pool,false,Inside,false,false
K,22,22,22K361,P.S. 361 East Flatbush Early Childhood School,Early Childhood,K864,P.S. 361 (Old 89) - Brooklyn,3109 Newkirk Avenue,DOE Owned,B1,720,Swimming Pool,false,Inside,false,false
K,22,22,22K361,P.S. 361 East Flatbush Early Childhood School,Early Childhood,K864,P.S. 361 (Old 89) - Brooklyn,3109 Newkirk Avenue,DOE Owned,Outdoor Yard 1,21384,Outdoor Yard,false,Outdoor,false,false
K,22,22,22K381,I. S. 381,Junior High-Intermediate-Middle,K197,P.S. 197 - Brooklyn,1599 East 22 Street,DOE Owned,323GYM,4505,Gymnasium,true,Inside,true,false
K,22,22,22K381,I. S. 381,Junior High-Intermediate-Middle,K197,P.S. 197 - Brooklyn,1599 East 22 Street,DOE Owned,414,960,Dance Room,true,Inside,true,false
K,22,22,22K381,I. S. 381,Junior High-Intermediate-Middle,K197,P.S. 197 - Brooklyn,1599 East 22 Street,DOE Owned,515,616,Dance Room,true,Inside,true,false
K,22,22,22K381,I. S. 381,Junior High-Intermediate-Middle,K197,P.S. 197 - Brooklyn,1599 East 22 Street,DOE Owned,562GYM,2968,Gymnasium,true,Inside,true,false
K,22,22,22K381,I. S. 381,Junior High-Intermediate-Middle,K197,P.S. 197 - Brooklyn,1599 East 22 Street,DOE Owned,Outdoor Yard 1,66150,Outdoor Yard,true,Outdoor,true,false
K,22,22,22K405,Midwood High School,High school,K405,Midwood Hs - K,2839 Bedford Avenue,DOE Owned,122,5312,Gymnasium,false,Inside,true,false
K,22,22,22K405,Midwood High School,High school,K405,Midwood Hs - K,2839 Bedford Avenue,DOE Owned,164,5312,Gymnasium,false,Inside,true,false
K,22,22,22K405,Midwood High School,High school,K405,Midwood Hs - K,2839 Bedford Avenue,DOE Owned,173,1298,Weight Room,false,Inside,true,false
K,22,22,22K405,Midwood High School,High school,K405,Midwood Hs - K,2839 Bedford Avenue,DOE Owned,213,770,Weight Room,false,Inside,true,false
K,22,22,22K405,Midwood High School,High school,K405,Midwood Hs - K,2839 Bedford Avenue,DOE Owned,273,735,Dance Room,false,Inside,true,false
K,22,22,22K425,James Madison High School,High school,K425,James Madison Hs - K,3787 Bedford Avenue,DOE Owned,20G,1175,Weight Room,false,Inside,false,false
K,22,22,22K425,James Madison High School,High school,K425,James Madison Hs - K,3787 Bedford Avenue,DOE Owned,34G,1175,Dance Room,false,Inside,false,false
K,22,22,22K425,James Madison High School,High school,K425,James Madison Hs - K,3787 Bedford Avenue,DOE Owned,GYM 1,8520,Gymnasium,false,Inside,false,false
K,22,22,22K425,James Madison High School,High school,K425,James Madison Hs - K,3787 Bedford Avenue,DOE Owned,GYM 2,4260,Gymnasium,false,Inside,false,false
K,22,22,22K425,James Madison High School,High school,K425,James Madison Hs - K,3787 Bedford Avenue,DOE Owned,GYM 3,4260,Gymnasium,false,Inside,false,false
K,22,22,22K425,James Madison High School,High school,K425,James Madison Hs - K,3787 Bedford Avenue,DOE Owned,POOL,5760,Swimming Pool,false,Inside,false,false
K,22,22,22K535,Leon M. Goldstein High School for the Sciences,High school,K535,Leon Goldstein Hs - Brooklyn,1830 Shore Boulevard,DOE Owned,225,7488,Gymnasium,true,Inside,true,false
K,15,15,22K555,Brooklyn College Academy,High school,K917,Bklyn Coll Acad (Bridges To K)-K,350 Coney Island Avenue,Tax Levy Lease,506,2585,Gymnasium,true,Inside,true,false
K,22,22,22K555,Brooklyn College Academy,High school,K555,Bklyn Coll Acad (At Bklyn Coll)-K,2900 Bedford Avenue,DOE Owned,414,988,Multi-Purpose Non Classroom,true,Inside,true,true
K,22,22,22K611,Origins High School,High school,K495,Frank J. Macchiarola Educational Complex,3000 Avenue X,DOE Owned,081-G,2544,Gymnasium,true,Inside,true,false
K,22,22,22K611,Origins High School,High school,K495,Frank J. Macchiarola Educational Complex,3000 Avenue X,DOE Owned,082-G,2496,Gymnasium,true,Inside,true,false
K,22,22,22K611,Origins High School,High school,K495,Frank J. Macchiarola Educational Complex,3000 Avenue X,DOE Owned,145,1512,Auxiliary Exercise Room,true,Inside,true,false
K,22,22,22K611,Origins High School,High school,K495,Frank J. Macchiarola Educational Complex,3000 Avenue X,DOE Owned,171G,3100,Gymnasium,true,Inside,true,false
K,22,22,22K611,Origins High School,High school,K495,Frank J. Macchiarola Educational Complex,3000 Avenue X,DOE Owned,179,650,Auxiliary Exercise Room,true,Inside,true,false
K,22,22,22K611,Origins High School,High school,K495,Frank J. Macchiarola Educational Complex,3000 Avenue X,DOE Owned,183G,10816,Gymnasium,true,Inside,true,false
K,22,22,22K611,Origins High School,High school,K495,Frank J. Macchiarola Educational Complex,3000 Avenue X,DOE Owned,185G,3000,Weight Room,true,Inside,true,false
K,22,22,22K630,Professional Pathways High School,High school,K495,Frank J. Macchiarola Educational Complex,3000 Avenue X,DOE Owned,081-G,2544,Gymnasium,true,Inside,true,false
K,22,22,22K630,Professional Pathways High School,High school,K495,Frank J. Macchiarola Educational Complex,3000 Avenue X,DOE Owned,082-G,2496,Gymnasium,true,Inside,true,false
K,22,22,22K630,Professional Pathways High School,High school,K495,Frank J. Macchiarola Educational Complex,3000 Avenue X,DOE Owned,145,1512,Auxiliary Exercise Room,true,Inside,true,false
K,22,22,22K630,Professional Pathways High School,High school,K495,Frank J. Macchiarola Educational Complex,3000 Avenue X,DOE Owned,171G,3100,Gymnasium,true,Inside,true,false
K,22,22,22K630,Professional Pathways High School,High school,K495,Frank J. Macchiarola Educational Complex,3000 Avenue X,DOE Owned,179,650,Auxiliary Exercise Room,true,Inside,true,false
K,22,22,22K630,Professional Pathways High School,High school,K495,Frank J. Macchiarola Educational Complex,3000 Avenue X,DOE Owned,183G,10816,Gymnasium,true,Inside,true,false
K,22,22,22K630,Professional Pathways High School,High school,K495,Frank J. Macchiarola Educational Complex,3000 Avenue X,DOE Owned,185G,3000,Weight Room,true,Inside,true,false
K,23,23,23K041,P.S. 041 Francis White,K-8,K041,P.S. 41 - Brooklyn,411 Thatford Avenue,DOE Owned,GYM,3864,Gymnasium,false,Inside,false,false
K,23,23,23K041,P.S. 041 Francis White,K-8,K041,P.S. 41 - Brooklyn,411 Thatford Avenue,DOE Owned,Outdoor Yard 1,3024,Outdoor Yard,false,Outdoor,false,false
K,23,23,23K041,P.S. 041 Francis White,K-8,K041,P.S. 41 - Brooklyn,411 Thatford Avenue,DOE Owned,Outdoor Yard 2,3837,Outdoor Yard,false,Outdoor,false,false
K,23,23,23K137,P.S./I.S. 137 Rachel Jean Mitchell,K-8,K137,P.S. 137 - Brooklyn,121 Saratoga Avenue,DOE Owned,MULTI,3692,Gymnasium/Auditorium,false,Inside,false,true
K,23,23,23K137,P.S./I.S. 137 Rachel Jean Mitchell,K-8,K137,P.S. 137 - Brooklyn,121 Saratoga Avenue,DOE Owned,Outdoor Yard 1,15971,Outdoor Yard,false,Outdoor,false,false
K,23,23,23K150,P.S. 150 Christopher,Elementary,K150,P.S. 150 - Brooklyn,364 Sackman Street,DOE Owned,205,840,Dance Room,true,Inside,true,false
K,23,23,23K150,P.S. 150 Christopher,Elementary,K150,P.S. 150 - Brooklyn,364 Sackman Street,DOE Owned,504,2059,Gymnasium,true,Inside,true,false
K,23,23,23K150,P.S. 150 Christopher,Elementary,K150,P.S. 150 - Brooklyn,364 Sackman Street,DOE Owned,GYM BSM,2795,Gymnasium,true,Inside,true,false
K,23,23,23K150,P.S. 150 Christopher,Elementary,K150,P.S. 150 - Brooklyn,364 Sackman Street,DOE Owned,Outdoor Yard 1,19615,Outdoor Yard,true,Outdoor,true,false
K,23,23,23K150,P.S. 150 Christopher,Elementary,K150,P.S. 150 - Brooklyn,364 Sackman Street,DOE Owned,Outdoor Yard 2,28192,Outdoor Yard,true,Outdoor,true,false
K,23,23,23K155,P.S./ I.S. 155 Nicholas Herkimer,K-8,K155,P.S. 155 - Brooklyn,1355 Herkimer Street,DOE Owned,AUX-1,1350,Auxiliary Exercise Room,false,Inside,false,false
